
(0,0,0) 
 (30.56866021903239,31.454663093745324,39.59148387589374) 
 (151.27916253932258,178.9761535166548,71.36981658745529) 
 (176.5910179946602,210.67647232475997,126.44615648549762) 
 (209.60792778772256,230.74118362845672,159.98074942716644) 
 (271.94116643142553,285.23294246747815,236.2117528774705) 
 (300.77590606454595,322.27210526879554,306.941273059995) 
 (354.02693237914144,387.27814159479954,402.31991532078484) 
 (342.0769883012369,483.35257621030854,441.5675879667448) 
 (321.4452267776982,532.432690393841,451.84750925358117) 
 (337.1436075601914,593.7326953451509,496.42462442182864) 
 (900,900,900) 
 
